State,Month,Day,Hour,Temperature,Humidity,WindSpeed,WeatherType
Andhra Pradesh,1,1,12,28.0,81,17.0,Sunny
Andhra Pradesh,1,2,12,27.3,87,15.3,Rainy
Andhra Pradesh,1,3,12,29.0,86,10.6,Rainy
Andhra Pradesh,1,4,12,28.5,87,7.4,Rainy
Andhra Pradesh,1,5,12,27.4,87,13.0,Rainy
Andhra Pradesh,1,6,12,27.5,81,18.5,Sunny
Andhra Pradesh,1,7,12,27.9,81,14.9,Rainy
Andhra Pradesh,1,8,12,28.3,80,13.3,Rainy
Andhra Pradesh,1,9,12,29.5,76,14.8,Sunny
Andhra Pradesh,1,10,12,28.9,77,11.6,Sunny
Andhra Pradesh,1,11,12,29.2,80,8.3,Sunny
Andhra Pradesh,1,12,12,29.8,78,10.4,Rainy
Andhra Pradesh,1,13,12,30.4,75,10.8,Sunny
Andhra Pradesh,1,14,12,30.4,75,15.2,Sunny
Andhra Pradesh,1,15,12,29.1,73,17.0,Sunny
Andhra Pradesh,1,16,12,30.3,71,15.8,Sunny
Andhra Pradesh,1,17,12,31.6,73,16.1,Sunny
Andhra Pradesh,1,18,12,30.5,75,14.7,Sunny
Andhra Pradesh,1,19,12,30.1,76,13.7,Rainy
Andhra Pradesh,1,20,12,31.9,71,13.9,Sunny
Andhra Pradesh,1,21,12,31.7,73,18.4,Sunny
Andhra Pradesh,1,22,12,31.9,72,17.3,Sunny
Andhra Pradesh,1,23,12,31.6,73,16.1,Sunny
Andhra Pradesh,1,24,12,33.1,68,14.7,Sunny
Andhra Pradesh,1,25,12,33.0,71,16.1,Sunny
Andhra Pradesh,1,26,12,34.0,66,14.5,Sunny
Andhra Pradesh,1,27,12,34.4,70,19.4,Sunny
Andhra Pradesh,1,28,12,34.0,69,16.9,Sunny
Andhra Pradesh,1,29,12,34.2,71,18.0,Sunny
Andhra Pradesh,1,30,12,33.6,70,13.3,Sunny
Andhra Pradesh,1,31,12,33.5,69,17.9,Sunny
Andhra Pradesh,2,1,12,31.2,73,16.2,Sunny
Andhra Pradesh,2,2,12,29.9,74,17.3,Sunny
Andhra Pradesh,2,3,12,32.4,71,18.7,Sunny
Andhra Pradesh,2,4,12,32.8,69,17.9,Sunny
Andhra Pradesh,2,5,12,33.3,69,16.5,Sunny
Andhra Pradesh,2,6,12,33.2,71,19.5,Sunny
Andhra Pradesh,2,7,12,33.5,67,19.1,Sunny
Andhra Pradesh,2,8,12,31.8,65,21.1,Windy
Andhra Pradesh,2,9,12,28.6,80,15.9,Rainy
Andhra Pradesh,2,10,12,28.1,81,15.8,Rainy
Andhra Pradesh,2,11,12,30.2,76,17.3,Rainy
Andhra Pradesh,2,12,12,30.9,73,14.1,Sunny
Andhra Pradesh,2,13,12,32.5,68,11.4,Sunny
Andhra Pradesh,2,14,12,33.8,58,10.0,Sunny
Andhra Pradesh,2,15,12,34.8,54,12.5,Sunny
Andhra Pradesh,2,16,12,34.4,63,19.1,Sunny
Andhra Pradesh,2,17,12,34.1,64,17.1,Sunny
Andhra Pradesh,2,18,12,34.2,63,19.1,Sunny
Andhra Pradesh,2,19,12,32.6,68,20.1,Windy
Andhra Pradesh,2,20,12,33.0,66,18.4,Sunny
Andhra Pradesh,2,21,12,32.6,66,18.1,Sunny
Andhra Pradesh,2,22,12,33.3,66,18.1,Sunny
Andhra Pradesh,2,23,12,33.5,69,18.7,Sunny
Andhra Pradesh,2,24,12,33.5,69,19.4,Sunny
Andhra Pradesh,2,25,12,33.1,70,20.6,Windy
Andhra Pradesh,2,26,12,31.4,72,12.3,Sunny
Andhra Pradesh,2,27,12,33.6,71,16.6,Sunny
Andhra Pradesh,2,28,12,31.9,72,14.7,Sunny
Andhra Pradesh,2,29,12,33.4,68,20.9,Windy
Andhra Pradesh,3,1,12,34.3,64,20.2,Windy
Andhra Pradesh,3,2,12,34.3,64,16.1,Sunny
Andhra Pradesh,3,3,12,35.6,64,17.8,Sunny
Andhra Pradesh,3,4,12,35.6,63,16.5,Sunny
Andhra Pradesh,3,5,12,34.7,70,19.1,Sunny
Andhra Pradesh,3,6,12,34.9,71,21.1,Rainy
Andhra Pradesh,3,7,12,31.0,80,17.1,Rainy
Andhra Pradesh,3,8,12,30.6,78,14.8,Rainy
Andhra Pradesh,3,9,12,33.5,70,16.2,Sunny
Andhra Pradesh,3,10,12,34.6,68,17.1,Sunny
Andhra Pradesh,3,11,12,34.1,70,18.8,Sunny
Andhra Pradesh,3,12,12,35.5,68,20.2,Windy
Andhra Pradesh,3,13,12,35.5,69,18.9,Sunny
